Fornvan	Fullt navn	kjønn
Hans	Hans Ingvald Hansen Ratvik	mann
Hans	Hans Svarstad	mann
Harald	Harald Selås	mann
Haakon	Haakon Olsen Wika	mann
Henry	Henry Jacobsen	mann
Henrik	Henrik Friis Robberstad	mann
Herman	Herman Smitt Ingebretsen	mann
Hartvig	Hartvig Svendsen	mann
Håkon	Håkon Martin Breivoll	mann
Hårek	Hårek Ludvig Hansen	mann
Håkon	Håkon Johnsen	mann
Ingvald	Ingvald Haugen	mann
Ingvald	Ingvald Svinsås-Lo	mann
Ingvald	Ingvald Tøndel	mann
Isak	Isak Larsson Flatabø	mann
Ivar	Ivar Bae	mann
Ivar	Ivar Kristiansen Hognestad	mann
Ivar	Ivar Jacobsen Norevik	mann
Jakob	Jakob Johan Sigfrid Friis	mann
Jakob	Jakob Mathias Antonson Lothe	mann
Jakob	Jakob Martin Pettersen	mann
Jakob	Jakob Martinus Remseth	mann
Jens	Jens Martin Arctander Jenssen	mann
Jens	Jens Lunde	mann
Jens	Jens Olai Steffensen	mann
Johan	Johan Wiik	mann
Johan	Johan Andersen	mann
Jon	Jon Andrå	mann
Joachim	Joachim Dahl	mann
Jon	Jon Leirfall	mann
John	John Lyng	mann
Johan	Johan Nygaardsvold	mann
Johannes	Johannes Olai Olsen	mann
Johanne	Johanne Samueline Pedersen	kvinne
Johan	Johan Strand Johansen	mann
Jørgen	Jørgen Leonard Firing	mann
Jørgen	Jørgen Herman Vogt	mann
Karl	Karl Johan Fjermeros	mann
Kaare	Kaare Fostervoll	mann
Karl	Karl Eugen Hammerstedt	mann
Kittill	Kittill Kristoffersen Berg	mann
Kirsten	Kirsten Hansteen	kvinne
Kjell	Kjell Tellander	mann
Klara	Klara Amalie Skoglund	kvinne
Konrad	Konrad Gustav Knudsen	mann
Kristian	Kristian Fjeld	mann
Kristian	Kristian Magnus Falsen Johansen Moljord	mann
Lars	Lars Breie	mann
Laurits	Laurits Grønland	mann
Lars	Lars Magnus Moen	mann
Lars	Lars Ramndal	mann
Lars	Lars Sverkeson Romundstad	mann
Leif	Leif Bjorholt Burull	mann
Leif	Leif Granli	mann
Leif	Leif Grøner	mann
Magnus	Magnus Johansen	mann
Margit	Margit Schiøtt	kvinne
Martin	Martin Smeby	mann
Mons	Mons Lid	mann
Nils	Nils Hønsvald	mann
Nils	Nils Kristen Jacobsen	mann
Nils	Nils Andresson Lavik	mann
Nils	Nils Trædal	mann
Nils	Nils Tveit	mann
Olav	Olav Benum	mann
Ola	Ola Torstensen Lyngstad	mann
Olav	Olav Meisdalshagen	mann
Olav	Olav Kjetilson Nylund	mann
Olav	Olav Berntsen Oksvik	mann
Ole	Ole Jensen Rong d.y.	mann
Olav	Olav Svalastog	mann
Olaf	Olaf Sørensen	mann
Olav	Olav Aslakson Versto	mann
Olaf	Olaf Fredrik Watnebryn	mann
Oscar	Oscar Olsen	mann
Oscar	Oscar Fredrik Torp	mann
Parelius	Parelius Hjalmar Bang Berntsen	mann
Paul	Paul Martin Dahlø	mann
Paul	Paul Tjøstolsen Sunde	mann
Peder	Peder Alsvik	mann
Randulf	Randulf Dalland	mann
Rakel	Rakel Seweriin	kvinne
Reidar	Reidar Carlsen	mann
Rolf	Rolf Stranger	mann
Sigurd	Sigurd Lersbryggen	mann
Sjur	Sjur Lindebrække	mann
Sverre	Sverre Hope	mann
Sverre	Sverre Offenberg Løberg	mann
Sven	Sven Nielsen	mann
Sven	Sven Oftedal	mann
Sverre	Sverre Reiten	mann
Sverre	Sverre Kornelius Eilertsen Støstad	mann
Svein	Svein Olsen Øraker	mann
Søren	Søren Berg Sørensen Moen	mann
Søren	Søren Hans Smith Sørensen	mann
Terje	Terje Wold	mann
Theodor	Theodor Broch	mann
Tidemann	Tidemann Flaata Evensen	mann
Toralv	Toralv Kollin Markussen	mann
Torkell	Torkell Vinje	mann
Trygve	Trygve Lie	mann
Trygve	Trygve Utheim	mann
Ulrik	Ulrik Olsen	mann
Wilhelm	Wilhelm Engel Bredal	mann
Aldor	Aldor Ingebrigtsen	mann
Aasmund	Aasmund Kulien	mann
Aani	Aani Aanisson Rysstad	mann
